Id,App,Version,Creator,Country
1,Tampflex,0.16,hogleasane0,PS
2,Daltfresh,8.44,rwimsett1,CA
3,Bytecard,6.1.9,lrannells2,GT
4,Namfix,1.6.9,sfalkous3,KZ
5,Overhold,8.2.5,bdicarlo4,MD
6,Zathin,4.7,lfortescue5,PL
7,Bytecard,6.8.4,ccordova6,PE
8,Sonsing,7.1,jsamper7,BY
9,Vagram,1.59,totter8,PH
10,Voyatouch,2.9.2,nissacof9,DM
11,Voltsillam,0.7.9,ddishmana,CO
12,Asoka,0.54,bbourleyb,ML
13,Mat Lam Tam,0.66,rmaccrachenc,SE
14,Overhold,5.62,mbearwardd,CN
15,Zoolab,4.1,vscalae,SE
16,It,2.4.6,lshrigleyf,CN
17,Duobam,0.9.2,ktremmelg,KG
18,Cardguard,2.9.7,kpashenkovh,RU
19,Asoka,0.2.4,hfintophi,FR
20,Tresom,0.72,hdunckleyj,EE
21,Overhold,6.2.2,otomasellok,NE
22,Ronstring,8.9,vgodingl,AR
23,Redhold,0.72,ckamiyamam,ID
24,Stringtough,2.9.1,jfishleighn,CN
25,Home Ing,0.88,jdearnaleyo,SE
26,Quo Lux,8.9,kmarhamp,ID
27,It,8.46,ageerdtsq,RU
28,Ronstring,7.2,jdictusr,TN
29,Bigtax,5.6,cdobrowlskis,CN
30,Subin,0.9.9,edeblasit,CN
31,Fintone,0.6.2,jlogueu,KR
32,Konklab,0.65,ncrollmanv,CN
33,Andalax,5.5,sescoffierw,ID
34,Span,4.3,lraoulx,US
35,Bigtax,0.71,ekirimaay,SE
36,Tampflex,0.7.1,wcleatonz,ID
37,Voyatouch,3.84,cbambrick10,PH
38,Cardguard,8.11,ynunnery11,CN
39,Veribet,4.7.4,jmcsperron12,TN
40,Duobam,0.9.7,hhymans13,PT
41,Zathin,4.6.6,mtregian14,PE
42,Kanlam,8.4,mmacgorman15,ID
43,Cardguard,1.65,rscotland16,CN
44,Span,0.10,selgar17,CN
45,Fix San,0.9.6,mpieter18,ID
46,Tempsoft,7.5,jborthwick19,NG
47,Tampflex,6.8.2,dpardue1a,ZA
48,Bytecard,8.48,msouten1b,LU
49,Redhold,0.7.5,mlauks1c,NO
50,Andalax,8.2,jmclurg1d,RU
51,Zaam-Dox,3.57,sclemon1e,CN
52,Cookley,0.18,zgartery1f,MU
53,Cardguard,0.2.6,bvalentim1g,CN
54,Pannier,0.4.4,otremollet1h,DE
55,Fix San,3.1,tweson1i,US
56,Holdlamis,2.0,sdaout1j,CN
57,Pannier,8.0,dguinness1k,JP
58,Andalax,0.3.0,rcattermoul1l,XK
59,Tresom,0.90,omazzey1m,BR
60,Hatity,7.8.8,gmullan1n,ZM
61,Cardify,5.12,zarchibald1o,HU
62,Domainer,1.8,gslesser1p,CN
63,Gembucket,7.6.4,cjakeway1q,BR
64,Konklux,8.4.6,mwheatley1r,PH
65,Alpha,0.8.2,gburnage1s,TN
66,Sub-Ex,0.3.4,abodega1t,PL
67,Flowdesk,2.69,lsutcliffe1u,ID
68,Sonsing,0.7.2,dwray1v,CN
69,Keylex,0.7.7,pbegin1w,TM
70,Flowdesk,0.6.7,theeney1x,NG
71,Bytecard,0.3.0,apackman1y,CN
72,Bigtax,4.9,acrosi1z,US
73,Vagram,9.08,pvanderbeek20,CN
74,Andalax,6.0.4,npreon21,AL
75,Zaam-Dox,8.8.5,jkrikorian22,AR
76,Cookley,0.39,fmaffei23,CN
77,Stronghold,9.01,pduthie24,SE
78,Duobam,0.6.4,awisniewski25,GB
79,Holdlamis,0.1.8,smabee26,PT
80,Bigtax,1.41,eheber27,BR
81,Tin,5.87,fnys28,BR
82,Flexidy,6.2.1,kronan29,ID
83,Konklab,4.3,aargente2a,ID
84,Home Ing,1.4.6,lmountlow2b,CN
85,Voltsillam,5.78,pderham2c,FR
86,Stim,7.9.2,ftrayton2d,CN
